"filename", "language", "JavaScript", "PHP", "PostCSS", "Markdown", "JSON", "XML", "comment", "blank", "total"
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\package-lock.json", "JSON", 0, 0, 0, 0, 2930, 0, 0, 1, 2931
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\package.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 1, 24
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\phpunit.xml", "XML", 0, 0, 0, 0, 0, 29, 2, 1, 32
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\public\index.php", "PHP", 0, 14, 0, 0, 0, 0, 30, 12, 56
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\resources\css\app.css", "PostCSS", 0, 0, 32, 0, 0, 0, 1, 5, 38
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\resources\js\app.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 7, 13
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\resources\js\bootstrap.js", "JavaScript", 16, 0, 0, 0, 0, 0, 16, 8, 40
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\resources\views\admin\admin-dashboard.blade.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 5, 39
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\resources\views\admin\admin-orders.blade.php", "PHP", 0, 105, 0, 0, 0, 0, 0, 14, 119
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\resources\views\admin\create-category.blade.php", "PHP", 0, 160, 0, 0, 0, 0, 1, 19, 180
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\resources\views\admin\create-product.blade.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 10, 84
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\resources\views\admin\create-type.blade.php", "PHP", 0, 160, 0, 0, 0, 0, 1, 20, 181
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\resources\views\admin\edit-product.blade.php", "PHP", 0, 87, 0, 0, 0, 0, 0, 10, 97
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\resources\views\admin\products.blade.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 3, 25
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\resources\views\admin\update-product.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
